Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Globivenus fordii,Chris Meyer,MeyerC@si.edu,*Ford's venus,Inventory,Bivalvia,Globivenus,fordii,Veneridae,*Veneroida,*Bivalvia,*10-50,rubble,"""A southern species occasionally found just offshore in rubble areas, particularly in warm-water years.""",No,Yes,"""Southern species moving north during warm-water events""",0.091753266,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Glycymeris septentrionalis,Chris Meyer,MeyerC@si.edu,*Northern bittersweet,Inventory,Bivalvia,Glycymeris,septentrionalis,GLYCYMERIDIDAE,*Arcoida,*Bivalvia,*30-9000,*Sandy,Occasionally washed ashore on Californian beaches.,No,Yes,,0.181046329,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Gregariella coarctata,Chris Meyer,MeyerC@si.edu,*Compressed gregariella,Inventory,Bivalvia,Gregariella,coarctata,MYTILIDAE,*Mytiloida,*Bivalvia,*30-9000,Rocky,A trapezoidal species that nestles in offshore rocks.,No,Yes,,0.573775382,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Hiatella arctica,Chris Meyer,MeyerC@si.edu,*Arctic hiatella,Inventory,Bivalvia,Hiatella,arctica,Hiatellidae,*Myoida,*Bivalvia,*0-50,*various,"""Attaches with a byssus but can also bore; in bays, on pilings, in fouling clumps, open coast in algal holdfasts, abandoned pholad holes, and Mytilus beds.""",Yes,Yes,"""Highly variable shell shape; both a nestler and borer""",0.140435525,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Humilaria kennerleyi,Chris Meyer,MeyerC@si.edu,*Kennerley's venus,Inventory,Bivalvia,Humilaria,kennerleyi,Veneridae,*Veneroida,*Bivalvia,*10-100,soft bottom,"""A northern species found offshore on soft bottoms.""",No,Yes,*Northern species with distinctive shell sculpture,0.207472536,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Irusella lamellifera,Chris Meyer,MeyerC@si.edu,*Lamellate irusella,Inventory,Bivalvia,Irusella,lamellifera,Veneridae,*Veneroida,*Bivalvia,*0-20,rocky,"""Nestling among rocks and in pholad burrows along outer coast; on pilings, in fouling. In bays.""",Yes,Yes,"""Nestles in rock crevices and abandoned pholad burrows""",0.444349014,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Kellia suborbicularis,Chris Meyer,MeyerC@si.edu,*Suborbicular kellia,Inventory,Bivalvia,Kellia,suborbicularis,Lasaeidae,*Veneroida,*Bivalvia,*0-20,rocky,"""Often abundant, nestling on pilings and rocks and in mussel beds, empty barnacles, bottles, and pholad holes; a common fouler in seawater systems of marine laboratories.""",Yes,*Yes,"""This species broods its young in the suprabranchial chamber, with dwarf males occurring in the infrabranchial chamber.""",0.975468793,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Lasaea adansoni,Chris Meyer,MeyerC@si.edu,*European red bivalve,Inventory,Bivalvia,Lasaea,adansoni,Lasaeidae,*Veneroida,*Bivalvia,*0-10,rocky,"""In algal holdfasts and among byssal threads of mussels, abundant, on open and semiprotected rocky coast.""",Yes,*No,"""These strange little bivalves are now known to represent hermaphroditic, polyploid clones ranging from 3°N to 6°N, which brood their young.""",0.411138641,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Leptopecten latiauratus,Chris Meyer,MeyerC@si.edu,*Kelp scallop,Inventory,Bivalvia,Leptopecten,latiauratus,PECTINIDAE,*Pectinoida,*Bivalvia,*0-300,*Rocky,,Yes,Yes,,0.31654833,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Leukoma laciniata,Chris Meyer,MeyerC@si.edu,*Frilled venus,Inventory,Bivalvia,Leukoma,laciniata,Veneridae,*Veneroida,*Bivalvia,*0-20,sandy mud,"""Less common than L. staminea, in sandy mud of bays.""",Yes,*No,"""Characterized by distinctive sculptural pattern""",0.662415417,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Leukoma staminea,Chris Meyer,MeyerC@si.edu,Pacific littleneck,Inventory,Bivalvia,Leukoma,staminea,Veneridae,*Veneroida,*Bivalvia,*0-50,sandy,"""The Pacific littleneck is common both in sand of bays and nestling among rocks (often in empty pholad holes) on outer coast.""",Yes,Yes,"""Commercially harvested species; form with raised lamellae may be confused with Irusella""",0.133547828,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Limaria hemphilli,Chris Meyer,MeyerC@si.edu,*Hemphill's lima,Inventory,Bivalvia,Limaria,hemphilli,LIMIDAE,*Limoida,*Bivalvia,*30-9000,*Rocky,In shallow water offshore in warm-water years.,No,Yes,,0.189401186,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Limatula saturna,Chris Meyer,MeyerC@si.edu,*Saturnian lima,Inventory,Bivalvia,Limatula,saturna,LIMIDAE,*Limoida,*Bivalvia,*30-9000,*Rocky,In shallow offshore waters.,No,Yes,,0.207375641,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Lithophaga plumula,Chris Meyer,MeyerC@si.edu,*Feather date mussel,Inventory,Bivalvia,Lithophaga,plumula,MYTILIDAE,*Mytiloida,*Bivalvia,*0-300,"Shale, shells","Boring in calcareous shale, shells; inner mantle fold secretes acid mucus.",Yes,Yes,,0.537100755,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Lucinisca nuttalli,Chris Meyer,MeyerC@si.edu,*Nuttall's lucine,Inventory,Bivalvia,Lucinisca,nuttalli,Lucinidae,*Lucinida,*Bivalvia,*0-100,*sandy bottom,"""A southern Californian species recorded as far north as Monterey in El Niño years.""",*Yes,*Yes,*Distribution affected by El Niño events,0.210298558,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Lyrodus pedicellatus,Chris Meyer,MeyerC@si.edu,*Foot-bearing shipworm,Inventory,Bivalvia,Lyrodus,pedicellatus,Teredinidae,*Myoida,*Bivalvia,*0-20,wood,"""Introduced; young are retained to late veliger stage.""",Yes,*Yes,"""Introduced wood borer; broods young to late veliger stage""",0.786802501,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma acolasta,Chris Meyer,MeyerC@si.edu,*Acolasta macoma,Inventory,Bivalvia,Macoma,acolasta,Tellinidae,*Veneroida,*Bivalvia,*0-20,sand,"""Protected bays in low intertidal zone in sand; uncommon.""",Yes,*No,"""Uncommon species with broadly rounded posterior""",0.761337082,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma balthica,Chris Meyer,MeyerC@si.edu,Common macoma,Inventory,Bivalvia,Macoma,balthica,Tellinidae,*Veneroida,*Bivalvia,*0-20,brackish,"""The common brackish water macoma from at least Coos Bay, Oregon, north through the Arctic.""",Yes,*No,"""Common in brackish water; often with pinkish tinge""",0.1282146,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma carlottensis,Chris Meyer,MeyerC@si.edu,*Carlotte's macoma,Inventory,Bivalvia,Macoma,carlottensis,Tellinidae,*Veneroida,*Bivalvia,*10-100,soft bottom,"""Offshore on soft bottoms.""",No,Yes,*Offshore species in soft sediments,0.639022697,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma elimata,Chris Meyer,MeyerC@si.edu,*Elimata macoma,Inventory,Bivalvia,Macoma,elimata,Tellinidae,*Veneroida,*Bivalvia,*10-100,soft bottom,"""Offshore on soft bottoms.""",No,Yes,"*Characterized by its thin, somewhat elongate shell",0.431660689,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma expansa,Chris Meyer,MeyerC@si.edu,*Expanded macoma,Inventory,Bivalvia,Macoma,expansa,Tellinidae,*Veneroida,*Bivalvia,*10-100,sand,"""Of the same group as M. secta and M. indentata, but thinner, more inflated, with an only slightly developed posterior dorsal flange: rare, in sand offshore, in exposed areas; valves occasionally washed ashore.""",No,Yes,"""Rare species with only slightly developed posterior dorsal flange""",0.850478023,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma indentata,Chris Meyer,MeyerC@si.edu,*Indented macoma,Inventory,Bivalvia,Macoma,indentata,Tellinidae,*Veneroida,*Bivalvia,*0-20,silt/sand,"""In silt to sand of bays, uncommon.""",Yes,*Yes,"""Characterized by produced, pointed posterior end""",0.306943219,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma inquinata,Chris Meyer,MeyerC@si.edu,*Inquinate macoma,Inventory,Bivalvia,Macoma,inquinata,Tellinidae,*Veneroida,*Bivalvia,*0-50,silt/mud,"""Common, in silt and mud in protected areas, most common in bays, but also below surf zone offshore.""",Yes,Yes,"""Common in bays and below surf zone""",0.627367499,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma nasuta,Chris Meyer,MeyerC@si.edu,Bent-nosed clam,Inventory,Bivalvia,Macoma,nasuta,Tellinidae,*Veneroida,*Bivalvia,*0-50,mud/sand,"""Bent-nosed clam; common, in mud and muddy sand in protected areas, most common in bays at mid-tide, also below surf zone offshore.""",Yes,Yes,"""Common species with distinctive bent nose; shell asymmetrical""",0.635860009,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma petalum,Chris Meyer,MeyerC@si.edu,*Petal macoma,Inventory,Bivalvia,Macoma,petalum,Tellinidae,*Veneroida,*Bivalvia,*0-20,brackish mud,"""The common small pink and white macoma of San Francisco Bay is the North American Atlantic coast species M. petalum, now recognized as genetically distinct from the boreal and European M. balthica. It was introduced with oysters.""",Yes,*No,"""Introduced Atlantic species common in San Francisco Bay""",0.309311651,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma secta,Chris Meyer,MeyerC@si.edu,Sand clam,Inventory,Bivalvia,Macoma,secta,Tellinidae,*Veneroida,*Bivalvia,*0-50,sand,"""Sand clam; common, intertidal in sand in semiprotected areas of bays and offshore of sandy beaches.""",Yes,Yes,"""Common species with distinctive truncate posterior end""",0.633756843,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Macoma yoldiformis,Chris Meyer,MeyerC@si.edu,*Yoldia-shaped macoma,Inventory,Bivalvia,Macoma,yoldiformis,Tellinidae,*Veneroida,*Bivalvia,*0-20,silt/sand,"""In silt to sand, in protected areas in low intertidal of bays; rare.""",Yes,*No,"""Rare species with produced posterior end resembling Yoldia""",0.727956849,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Mactromeris catilliformis,Chris Meyer,MeyerC@si.edu,*Dish-shaped surfclam,Inventory,Bivalvia,Mactromeris,catilliformis,Mactridae,*Veneroida,*Bivalvia,*0-50,sandy,"""On sand beaches on open coast, often washing ashore after large storms.""",Yes,Yes,"""Large surf clam; anterior end shorter than posterior""",0.865090634,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Mactromeris hemphillii,Chris Meyer,MeyerC@si.edu,*Hemphill's surfclam,Inventory,Bivalvia,Mactromeris,hemphillii,Mactridae,*Veneroida,*Bivalvia,*0-50,sandy,"""Occurs in the same situations, only as far north as Cayucos.""",Yes,Yes,"""Southern species; anterior end longer than or equal to posterior""",0.281228901,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Mactrotoma californica,Chris Meyer,MeyerC@si.edu,*California mactra,Inventory,Bivalvia,Mactrotoma,californica,Mactridae,*Veneroida,*Bivalvia,*0-20,sandy mud,"""In sandy mud of bays. A southern species found north of Point Conception in warm-water years.""",Yes,*No,"""Southern species with distinctive commarginal undulations on beaks""",0.091609722,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Mercenaria mercenaria,Chris Meyer,MeyerC@si.edu,Quahog,Inventory,Bivalvia,Mercenaria,mercenaria,Veneridae,*Veneroida,*Bivalvia,*0-50,mud,"""The quahog; introduced from Atlantic, reproducing populations present in southern California and in southern British Columbia; in mud in bays; not common.""",Yes,*No,"""Introduced Atlantic species; also known as hard clam""",0.112741144,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Milneria kelseyi,Chris Meyer,MeyerC@si.edu,*Kelsey's milneria,Inventory,Bivalvia,Milneria,kelseyi,CARDITIDAE,*Veneroida,*Bivalvia,*0-300,*Rocky,"Reaches about 18 mm, this southern species occasionally gets as far north as Monterey Bay. Also with brood pouch in female.",Yes,Yes,,0.627861932,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Milneria minima,Chris Meyer,MeyerC@si.edu,*Small milneria,Inventory,Bivalvia,Milneria,minima,CARDITIDAE,*Veneroida,*Bivalvia,*0-3000,*Rocky,Reaches about 8 mm and also attaches with a byssus to rocks from the low intertidal zone to 50 m. Ventral margin is folded inward in the female to form a brood pouch.,Yes,Yes,,0.689723408,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
