Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scytosiphon lomentaria,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scytosiphon lomentaria (Lyngbye) Link
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sebdenia dawsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sebdenia dawsonii (I.A. Abbott) G.I. Hansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Silvetia compressa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Silvetia compressa (J. Agardh) Serrão, T.O. Cho, S.M. Boo, & S.H. Brawley"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Silvetia compressa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Silvetia compressa subsp. compressa Serrão, T.O. Cho, S.M. Boo, & S.H. Brawley"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Silvetia compressa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Silvetia compressa subsp. deliquescens P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Smithora naiadum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Smithora naiadum (C.L. Anderson) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Soranthera ulvoidea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Soranthera ulvoidea Postels & Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sorella delicatula,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sorella delicatula (N.L. Gardner) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sorella pinnata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sorella pinnata G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sphacelaria californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sphacelaria californica (Sauvageau) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sphacelaria didichotoma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sphacelaria didichotoma DeA. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sphacelaria rigidula,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sphacelaria rigidula Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Spongomorpha mertensii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Spongomorpha mertensii (Ruprecht) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Spongonema tomentosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Spongonema tomentosum (Hudson) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sporochnus pedunculatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sporochnus pedunculatus (Hudson) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Spyridia filamentosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Spyridia filamentosa (Wulfen) Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stenogramma californicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Stenogramma californicum Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stephanocystis dioica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Stephanocystis dioica (Gardner) S.G.A. Draisma, E. Ballesteros, F. Rousseau, & T. Thibaut"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stephanocystis neglecta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Stephanocystis neglecta (Setchell & N.L. Gardner) S.G.A. Draisma, E. Ballesteros, F. Rousseau & T. Thibaut"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stephanocystis osmundacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Stephanocystis osmundacea (Turner) Trevisan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stephanocystis setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Stephanocystis setchellii (N.L. Gardner) S.G.A. Draisma, E. Ballesteros, F. Rousseau & T. Thibaut"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stictyosiphon tortilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Stictyosiphon tortilis (Gobi) Reinke
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema anomalum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema anomalum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema corymbiferum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema corymbiferum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema evagatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema evagatum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema myrionematoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema myrionematoides Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema pacificum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema pacificum DeA. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema penetrale,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema penetrale Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema porphyrae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema porphyrae Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema scabiosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema scabiosum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Streblonema transfixum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Streblonema transfixum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stylonema alsidii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Stylonema alsidii (Zanardini) K.M. Drew
Kathy Ann UC Berkelely Current and former names for California seaweeds,Stylonema cornu-cervi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Stylonema cornu-cervi Reinsch
Kathy Ann UC Berkelely Current and former names for California seaweeds,Symphyocladiella baileyi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Symphyocladiella baileyi (Harvey) D. Bustamante, B.Y. Won, S.C. Lindstrom & T.O. Cho"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Symphyocladiella dendroidea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Symphyocladiella dendroidea (Montagne) D. Bustamante, B.Y. Won, S.C. Lindstrom & T.O. Cho"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Symphyocladiella gracilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Symphyocladiella gracilis (Kylin) D. Bustamante, B.Y. Won, S.C. Lindstrom & T.O. Cho"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Symphyocladiella rosea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Symphyocladiella rosea (A.M. Savoie & G.W. Saunders) D. Bustamante, B.Y. Won, S.C. Lindstrom & T.O. Cho"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Symphyocladiella spp.,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Symphyocladiella spp.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Taonia lennebackerae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Taonia lennebackerae J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Tetraselmis ascus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Tetraselmis ascus (Proskauer) R.E. Norris, Hori & Chihara"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Tetraselmis marina,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Tetraselmis marina (Cienkowski) R.E. Norris, Hori & Chihara"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Tiffaniella phycophila,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Tiffaniella phycophila (W.R. Taylor) Gordon
Kathy Ann UC Berkelely Current and former names for California seaweeds,Tiffaniella snyderae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Tiffaniella snyderae (Farlow) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Titanoderma pustulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Titanoderma pustulatum (Lamouroux) Nägeli
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulothrix flacca,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulothrix flacca (Dillwyn) Thuret
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulothrix implexa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulothrix implexa (Kützing) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva australis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva australis Areschoug
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva californica Wille
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva clathrata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva clathrata (Roth) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva compressa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva compressa Linnaeus
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva dactylifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva dactylifera Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva expansa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva expansa (Setchell) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva fenestrata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva fenestrata Postels & Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva flexuosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva flexuosa Wulfen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva intestinalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva intestinalis Linnaeus
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva linza,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva linza Linnaeus
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva prolifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva prolifera O.F. Müller
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva pseudocurvata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva pseudocurvata Koeman & van den Hoek
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva stenophylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva stenophylla Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva taeniata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva taeniata (Setchell) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva tanneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva tanneri H. Hayden & J.R. Waaland
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulva torta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulva torta (Mertens) Trevisan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvaria blyttii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulvaria blyttii (Areschoug) K.L. Vinogradova
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella cingens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Ulvella cingens (Setchell & N.L. Gardner) R. Nielsen, C.J. O'Kelly & B. Wysor"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella codicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Ulvella codicola (Setchell & N.L. Gardner) R. Nielsen, C.J. O'Kelly & B. Wysor"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella geniculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulvella geniculata (N.L. Gardner) C.J. O'Kelly & B. Wysor
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella lens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulvella lens P.L. Crouan & H.M. Crouan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella ramosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Ulvella ramosa (N.L. Gardner) R. Nielsen, C.J. O'Kelly & B. Wysor"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ulvella setchellii Dangeard
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ulvella viridis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Ulvella viridis (Reinke) R. Nielsen, C.J. O'Kelly & B. Wysor"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Undaria pinnatifida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Undaria pinnatifida (Harvey) Suringar
Kathy Ann UC Berkelely Current and former names for California seaweeds,Urospora doliifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Urospora doliifera (Setchell & N.L. Gardner) M.S. Doty
Kathy Ann UC Berkelely Current and former names for California seaweeds,Urospora penicilliformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Urospora penicilliformis (Roth) J.E. Areschoug
Kathy Ann UC Berkelely Current and former names for California seaweeds,Urospora wormskioldii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Urospora wormskioldii (J.W. Hornemann) Rosenvinge
Kathy Ann UC Berkelely Current and former names for California seaweeds,Veleroa subulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Veleroa subulata E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Vertebrata hendryi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Vertebrata hendryi (N.L. Gardner) A.M. Savoie & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Weeksia coccinea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Weeksia coccinea (Harvey) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Weeksia digitata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Weeksia digitata I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Weeksia howellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Weeksia howellii Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Weeksia reticulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Weeksia reticulata Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Weeksia templetonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Weeksia templetonii Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Wildemania amplissima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Wildemania amplissima (Kjellman) Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Wildemania occidentalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Wildemania occidentalis (Setchell & Hus) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Wildemania schizophylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Wildemania schizophylla (G.J. Hollenberg) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Wittrockiella amphibia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Wittrockiella amphibia (Collins) C. Boedeker & G.I. Hansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Xiphosiphonia pennata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Xiphosiphonia pennata (C. Agardh) A.M. Savoie & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Yendoa hakodatensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Yendoa hakodatensis (Yendo) C.C. Santos, G.M. Lyra & J.M.C. Nunes"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Yoneshiguea affinis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Yoneshiguea affinis (Setchell & N.L. Gardner) Barros-Barreto, Maggs & M.A.Jaramillo"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Zonaria farlowii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Zonaria farlowii Setchell & N.L. Gardner
